,o,d,tsrc,logit,abs,rel
35013501,3501,3501,1040.038668,381.0842778,658.9543899,0.633586433
35013502,3501,3502,611.4200129,235.8200232,375.5999897,0.614307647
35013506,3501,3506,3623.255428,480.2374226,3143.018005,0.867456923
35013507,3501,3507,490.6049529,184.1115897,306.4933632,0.624725375
35013509,3501,3509,132.3407022,122.7599454,9.580756789,0.072394635
35013510,3501,3510,672.6425836,167.4936107,505.1489729,0.750991664
35013511,3501,3511,24.54066877,79.68458893,55.14392016,2.247042274
35013512,3501,3512,97.03132411,61.57867427,35.45264984,0.365373246
35013513,3501,3513,58.09381699,55.09000632,3.003810663,0.051706202
35013514,3501,3514,15.36964164,45.47471936,30.10507772,1.958736476
35013515,3501,3515,21.50383534,35.00687469,13.50303935,0.627936326
35013516,3501,3516,2.192728767,26.82764632,24.63491756,11.23482207
35013518,3501,3518,19.0702011,68.51750129,49.44730019,2.592909217
35013519,3501,3519,17.65809068,70.77373497,53.11564429,3.008006088
35013520,3501,3520,239.6583074,194.3071012,45.35120623,0.189232774
35013521,3501,3521,30.06001205,77.10035113,47.04033907,1.564880912
35013522,3501,3522,3.35092274,18.72789697,15.37697423,4.588877579
35013523,3501,3523,12.26118877,32.24768479,19.98649602,1.630061848
35013524,3501,3524,202.6816556,44.85367277,157.8279828,0.778698903
35013526,3501,3526,52.51407973,40.5669205,11.94715923,0.227503924
35013528,3501,3528,8.078809315,33.71876835,25.63995903,3.173729944
35013530,3501,3530,58.47291644,16.54125229,41.93166415,0.717112583
35013531,3501,3531,29.29208986,18.68050657,10.61158329,0.36226788
35013532,3501,3532,17.46310329,37.55722557,20.09412228,1.150661595
35013534,3501,3534,13.15888027,15.86823799,2.709357714,0.205895764
35013536,3501,3536,7.32985726,16.76715374,9.43729648,1.28751436
35013537,3501,3537,2.305751233,14.27115711,11.96540588,5.189374165
35013538,3501,3538,3.562011781,12.04806171,8.486049931,2.382375594
35013539,3501,3539,42.7503874,19.94545451,22.80493289,0.533443889
35013542,3501,3542,3.03156274,12.53408985,9.502527114,3.13453091
35013543,3501,3543,22.64122877,28.31977205,5.678543281,0.250805437
35013544,3501,3544,8.230667945,13.28217157,5.051503625,0.613741638
35013546,3501,3546,12.86121041,12.15712946,0.704080951,0.054744532
35013547,3501,3547,120.7706644,14.25398969,106.5166747,0.881974735
35013548,3501,3548,75.99466932,36.20061199,39.79405733,0.523642746
35013551,3501,3551,5.166602466,19.2624209,14.09581843,2.728256824
35013552,3501,3552,2.330416438,24.48447439,22.15405795,9.506480296
35013553,3501,3553,3.984713425,66.74169726,62.75698384,15.74943469
35013554,3501,3554,2.425010959,20.18294559,17.75793463,7.32282655
35013556,3501,3556,151.4667055,16.67828993,134.7884155,0.889888079
35013557,3501,3557,135.238929,9.649177952,125.5897511,0.928650885
35013560,3501,3560,16.9558874,10.47209801,6.483789389,0.382391628
35019753,3501,9753,243.6483942,20.95501192,222.6933823,0.91399487
35019767,3501,9767,6.043187945,11.75067392,5.707485978,0.944449524
35019771,3501,9771,1330.730786,9.239014021,1321.491772,0.993057188
35019775,3501,9775,69.63600932,9.557907355,60.07810196,0.862744757
35019777,3501,9777,8.297333425,16.89671666,8.599383231,1.036403238
35019787,3501,9787,21.31221479,12.10786124,9.204353557,0.431881606
35019788,3501,9788,298.9648995,7.734402511,291.2304969,0.974129396
35019789,3501,9789,25.19035068,25.16250295,0.027847739,0.001105492
35019790,3501,9790,23.82719616,22.6921607,1.135035459,0.047636132
35019791,3501,9791,9.883702192,14.64930459,4.765602394,0.482167745
35019792,3501,9792,21.91047205,328.6485347,306.7380627,13.99960995
35019793,3501,9793,126.2231641,10.17974202,116.0434221,0.919351237
35019794,3501,9794,8.313203836,3.284863349,5.028340487,0.604861926
35019795,3501,9795,8.940187671,11.44280947,2.502621795,0.279929447
35023501,3502,3501,186.3460871,4.516478143,181.829609,0.975762957
35023502,3502,3502,1113.524487,16.05707199,1097.467415,0.985579956
35023506,3502,3506,3031.15768,2.58478052,3028.572899,0.999147263
35023507,3502,3507,148.5868904,9.997375053,138.5895154,0.932716978
35023509,3502,3509,10.51219671,15.87829149,5.366094781,0.510463695
35023510,3502,3510,53.20250904,14.52976687,38.67274217,0.726896962
35023512,3502,3512,117.6504496,3.400804399,114.2496452,0.971093996
35023514,3502,3514,4.025838904,5.827039278,1.801200374,0.447409948
35023515,3502,3515,7.209989041,4.695078348,2.514910693,0.348809226
35023516,3502,3516,3.792072329,1.49365183,2.298420499,0.606111988
35023518,3502,3518,14.6792737,0.047448329,14.63182537,0.996767665
35023520,3502,3520,305.3902756,0.019534052,305.3707416,0.999936036
35023521,3502,3521,11.44160411,144.1746709,132.7330668,11.60091413
35023525,3502,3525,5.490172603,190.0863776,184.596205,33.62302396
35023526,3502,3526,23.59569014,312.2241939,288.6285038,12.23225522
35023529,3502,3529,7.718969315,73.86758413,66.14861481,8.569617537
35023530,3502,3530,4.8308,80.2365238,75.4057238,15.60936569
35023534,3502,3534,43.26534932,60.55178077,17.28643145,0.399544479
35023538,3502,3538,5.554874247,33.69096018,28.13608593,5.065116631
35023539,3502,3539,1.96086137,27.42336383,25.46250246,12.98536595
35023540,3502,3540,7.051255616,23.01666928,15.96541366,2.264194426
35023543,3502,3543,28.14775315,19.73178748,8.415965672,0.29899245
